UsualHoursWorked,EducationYrs, YearlyEarnings ,Race,Sex,,,"Note: data is a sample of 6050 full-time workers in five North-Central States, March 1999"
0,16,1200,White,Female,,,
50,16,2600,White,Male,,,
40,16,3000,White,Female,,,
36,16,3400,White,Female,,,
65,16,3500,White,Male,,,
50,16,3600,White,Male,,,
48,16,4000,White,Male,,,
40,16,4000,White,Male,,,
45,16,4472,White,Male,,,
40,16,5000,White,Female,,,
65,16,5000,White,Female,,,
60,16,5000,White,Female,,,
37,16,5000,White,Female,,,
40,16,5160,White,Female,,,
35,16,5300,White,Female,,,
35,16,5300,Black,Female,,,
0,16,6000,White,Female,,,
40,16,6400,White,Male,,,
40,16,6400,White,Female,,,
39,16,7000,White,Female,,,
40,16,7000,White,Female,,,
38,16,7035,White,Male,,,
40,16,7491,White,Female,,,
80,16,8000,White,Female,,,
40,16,8000,White,Male,,,
48,16,8000,White,Female,,,
40,16,8000,White,Female,,,
40,16,8000,White,Female,,,
59,16,8000,White,Female,,,
45,16,8000,White,Female,,,
50,16,8195,White,Male,,,
40,16,8700,White,Female,,,
40,16,9600,White,Male,,,
50,16,9600,White,Male,,,
55,16,10000,White,Male,,,
50,16,10000,White,Female,,,
40,16,10000,White,Female,,,
44,16,10000,White,Male,,,
50,16,10000,White,Female,,,
40,16,10000,White,Female,,,
40,16,10000,White,Male,,,
42,16,10400,White,Female,,,
44,16,10800,White,Female,,,
40,16,11000,White,Male,,,
40,16,11000,White,Female,,,
40,16,11000,White,Female,,,
0,16,11000,White,Female,,,
40,16,11000,Black,Female,,,
35,16,11870,White,Female,,,
50,16,12000,White,Female,,,
50,16,12000,Black,Female,,,
0,16,12000,Black,Female,,,
38,16,12000,White,Female,,,
40,16,12000,White,Female,,,
45,16,12000,AsianPI,Male,,,
36,16,12000,White,Female,,,
41,16,12200,White,Female,,,
40,16,12340,White,Female,,,
50,16,12700,White,Female,,,
40,16,13000,White,Female,,,
40,16,13000,White,Male,,,
45,16,13000,White,Female,,,
40,16,13000,Black,Female,,,
40,16,13600,White,Male,,,
40,16,14000,White,Female,,,
40,16,14000,White,Female,,,
40,16,14000,White,Female,,,
40,16,14601,White,Male,,,
0,16,15000,White,Female,,,
50,16,15000,White,Male,,,
50,16,15000,White,Female,,,
40,16,15000,White,Female,,,
40,16,15000,White,Female,,,
40,16,15000,White,Female,,,
40,16,15600,Black,Male,,,
40,16,16000,White,Male,,,
55,16,16000,White,Male,,,
40,16,16000,White,Female,,,
45,16,16000,White,Male,,,
54,16,16000,White,Female,,,
38,16,16380,White,Female,,,
40,16,16476,White,Female,,,
0,16,16765,White,Female,,,
55,16,16800,White,Male,,,
90,16,16800,White,Male,,,
42,16,16888,White,Male,,,
44,16,17000,White,Female,,,
40,16,17000,White,Female,,,
60,16,17000,White,Male,,,
0,16,17000,White,Male,,,
0,16,17000,White,Male,,,
40,16,17100,White,Female,,,
60,16,17500,White,Male,,,
40,16,17571,White,Female,,,
40,16,17600,Black,Male,,,
40,16,17603,White,Male,,,
55,16,18000,White,Male,,,
45,16,18000,White,Female,,,
80,16,18000,Black,Female,,,
70,16,18000,White,Female,,,
40,16,19000,White,Female,,,
40,16,19000,White,Female,,,
40,16,19000,White,Female,,,
40,16,19000,White,Female,,,
40,16,19200,White,Male,,,
65,16,19305,White,Male,,,
50,16,19400,White,Female,,,
40,16,20000,Black,Female,,,
40,16,20000,White,Male,,,
46,16,20000,White,Female,,,
62,16,20000,Black,Female,,,
40,16,20000,White,Female,,,
60,16,20000,White,Male,,,
40,16,20000,White,Female,,,
40,16,20000,White,Male,,,
40,16,20000,White,Male,,,
40,16,20000,White,Female,,,
45,16,20000,White,Male,,,
40,16,20000,White,Female,,,
35,16,20000,White,Female,,,
40,16,20000,White,Male,,,
39,16,20000,White,Female,,,
38,16,20000,White,Female,,,
60,16,20000,White,Male,,,
50,16,20000,AsianPI,Male,,,
40,16,20000,White,Female,,,
43,16,20000,White,Female,,,
40,16,20000,White,Female,,,
40,16,20000,IndEsk,Male,,,
40,16,20000,IndEsk,Female,,,
40,16,20000,White,Female,,,
40,16,20000,White,Female,,,
40,16,20000,White,Male,,,
35,16,20000,AsianPI,Female,,,
40,16,20000,White,Female,,,
0,16,20000,White,Male,,,
45,16,20000,White,Male,,,
40,16,20000,White,Female,,,
40,16,20000,White,Female,,,
40,16,20050,White,Female,,,
40,16,20600,White,Male,,,
40,16,20800,White,Male,,,
40,16,20800,White,Female,,,
39,16,21000,White,Male,,,
40,16,21000,White,Female,,,
55,16,21000,White,Male,,,
60,16,21000,White,Female,,,
0,16,21000,White,Male,,,
40,16,21000,White,Female,,,
35,16,21000,White,Female,,,
40,16,21000,Black,Female,,,
40,16,21000,White,Male,,,
40,16,21000,White,Male,,,
40,16,21400,White,Male,,,
40,16,21502,White,Female,,,
50,16,22000,White,Male,,,
40,16,22000,White,Male,,,
40,16,22000,White,Male,,,
55,16,22000,White,Male,,,
50,16,22000,White,Female,,,
40,16,22000,White,Female,,,
47,16,22200,White,Female,,,
60,16,22500,White,Male,,,
36,16,22500,White,Female,,,
40,16,23000,White,Male,,,
40,16,23000,White,Male,,,
45,16,23000,White,Male,,,
40,16,23000,Black,Male,,,
40,16,23000,White,Female,,,
50,16,23000,White,Female,,,
40,16,23000,White,Male,,,
35,16,23000,White,Female,,,
40,16,23999,AsianPI,Female,,,
40,16,24000,Black,Female,,,
40,16,24000,White,Female,,,
45,16,24000,White,Male,,,
40,16,24000,White,Female,,,
43,16,24000,White,Female,,,
45,16,24000,White,Male,,,
50,16,24000,White,Female,,,
40,16,24000,Black,Male,,,
45,16,24000,White,Female,,,
40,16,24000,White,Female,,,
55,16,24000,White,Male,,,
40,16,24000,Black,Female,,,
40,16,24000,White,Male,,,
40,16,24000,White,Female,,,
40,16,24000,White,Male,,,
40,16,24200,White,Female,,,
42,16,24400,White,Male,,,
40,16,24400,White,Female,,,
40,16,24700,AsianPI,Male,,,
40,16,24960,Black,Female,,,
40,16,25000,White,Male,,,
40,16,25000,White,Female,,,
60,16,25000,White,Male,,,
40,16,25000,White,Female,,,
35,16,25000,White,Male,,,
40,16,25000,Black,Male,,,
40,16,25000,White,Male,,,
40,16,25000,Black,Male,,,
40,16,25000,White,Female,,,
40,16,25000,White,Female,,,
0,16,25000,White,Female,,,
40,16,25000,White,Male,,,
40,16,25000,AsianPI,Female,,,
40,16,25000,AsianPI,Male,,,
40,16,25000,AsianPI,Male,,,
40,16,25000,White,Male,,,
0,16,25000,Black,Male,,,
40,16,25000,Black,Female,,,
45,16,25000,White,Male,,,
0,16,25000,White,Female,,,
40,16,25000,White,Female,,,
0,16,25000,White,Male,,,
40,16,25000,White,Female,,,
40,16,25000,White,Female,,,
40,16,25000,White,Female,,,
40,16,25000,White,Male,,,
0,16,25000,White,Female,,,
40,16,25000,Black,Male,,,
40,16,25000,Black,Female,,,
50,16,25000,White,Female,,,
45,16,25000,White,Male,,,
40,16,25376,White,Female,,,
35,16,25500,White,Female,,,
40,16,25500,White,Female,,,
50,16,26000,Black,Male,,,
40,16,26000,White,Female,,,
40,16,26000,White,Male,,,
45,16,26000,Black,Female,,,
40,16,26000,White,Female,,,
38,16,26000,White,Female,,,
50,16,26000,White,Male,,,
40,16,26000,White,Male,,,
65,16,26000,White,Male,,,
40,16,26000,White,Female,,,
0,16,26000,White,Male,,,
63,16,26000,White,Male,,,
45,16,26000,White,Male,,,
50,16,26000,White,Female,,,
45,16,26000,White,Male,,,
40,16,26500,White,Male,,,
40,16,26700,White,Female,,,
40,16,26800,White,Female,,,
40,16,27000,White,Female,,,
40,16,27000,White,Male,,,
0,16,27000,White,Male,,,
0,16,27000,White,Male,,,
0,16,27000,Black,Female,,,
40,16,27000,White,Male,,,
40,16,27000,White,Female,,,
40,16,27000,White,Female,,,
40,16,27000,White,Female,,,
40,16,27000,White,Male,,,
40,16,27040,White,Female,,,
40,16,27085,White,Male,,,
45,16,27500,White,Female,,,
50,16,28000,White,Female,,,
45,16,28000,White,Female,,,
45,16,28000,White,Male,,,
40,16,28000,White,Female,,,
0,16,28000,White,Female,,,
40,16,28000,White,Female,,,
40,16,28000,White,Female,,,
40,16,28000,AsianPI,Male,,,
40,16,28000,White,Female,,,
70,16,28000,White,Male,,,
40,16,28000,White,Female,,,
0,16,28000,White,Male,,,
40,16,28000,White,Female,,,
40,16,28000,Black,Female,,,
40,16,28000,White,Female,,,
45,16,28000,White,Female,,,
70,16,28000,White,Male,,,
55,16,28000,AsianPI,Male,,,
40,16,28000,White,Male,,,
40,16,28000,White,Male,,,
62,16,28000,White,Female,,,
50,16,28500,White,Female,,,
45,16,28500,White,Female,,,
