Date,SP500,Nasdaq
2006-05-01,-0.030916901,-0.061866811
2006-06-01,8.66E-05,-0.00311628
2006-07-03,0.005085813,-0.037116326
2006-08-01,0.021274263,0.044122077
2006-09-01,0.024566274,0.034198054
2006-10-02,0.031508029,0.047944811
2006-11-01,0.01646661,0.027489638
2006-12-01,0.012615751,-0.006776957
2007-01-03,0.014059085,0.020138368
2007-02-01,-0.021846145,-0.019391785
2007-03-01,0.009979955,0.00227221
2007-04-02,0.043290683,0.042718984
2007-05-01,0.032549229,0.031456305
2007-06-01,-0.01781631,-0.000495293
2007-07-02,-0.031981907,-0.02188051
2007-08-01,0.012863592,0.019671912
2007-09-04,0.035794001,0.040495155
2007-10-01,0.014822335,0.058345364
2007-11-01,-0.044043424,-0.069308039
2007-12-03,-0.008628489,-0.003261981
2008-01-02,-0.061163475,-0.098941288
2008-02-01,-0.034761162,-0.049534282
2008-03-03,-0.005959583,0.003354641
2008-04-01,0.047546685,0.058663508
2008-05-01,0.010674153,0.045532162
2008-06-02,-0.085962382,-0.091046752
2008-07-01,-0.009859375,0.014204223
2008-08-01,0.012190503,0.018047344
2008-09-02,-0.090791453,-0.116425627
2008-10-01,-0.169424534,-0.177318967
2008-11-03,-0.074849032,-0.107719573
2008-12-01,0.007821566,0.026999746
2009-01-02,-0.085657348,-0.063797138
2009-02-02,-0.109931225,-0.066769618
2009-03-02,0.085404508,0.109410381
2009-04-01,0.093925076,0.12345364
2009-05-01,0.053081427,0.033209107
2009-06-01,0.000195835,0.034215732
2009-07-01,0.074141757,0.078178132
2009-08-03,0.033560173,0.015446045
2009-09-01,0.035723384,0.056424397
2009-10-01,-0.019761986,-0.036425401
2009-11-02,0.057363997,0.04864775
2009-12-01,0.017770598,0.058076098
2010-01-04,-0.036974262,-0.053676487
2010-02-01,0.028513693,0.042335902
2010-03-01,0.058796368,0.071350067
2010-04-01,0.014759327,0.026368246
2010-05-03,-0.081975916,-0.08294768
2010-06-01,-0.053882377,-0.065483997
2010-07-01,0.068777833,0.068963228
2010-08-02,-0.047449165,-0.062389675
2010-09-01,0.087551104,0.120428755
2010-10-01,0.036855941,0.0585953
2010-11-01,-0.002290283,-0.003661148
2010-12-01,0.065300072,0.061899825
2011-01-03,0.02264559,0.017795821
2011-02-01,0.031956583,0.030439839
2011-03-01,-0.001047302,-0.000431302
2011-04-01,0.028495358,0.033249792
2011-05-02,-0.013500928,-0.013307628
2011-06-01,-0.018257508,-0.021789581
2011-07-01,-0.021474437,-0.006179873
2011-08-01,-0.056791098,-0.064185635
2011-09-01,-0.071762013,-0.063602459
2011-10-03,0.107723038,0.111372857
2011-11-01,-0.005058645,-0.023867442
2011-12-01,0.008532752,-0.005796958
2012-01-03,0.043583015,0.080106712
2012-02-01,0.04058945,0.054391863
2012-03-01,0.031332377,0.042023803
2012-04-02,-0.007497497,-0.014623638
2012-05-01,-0.062650671,-0.071895639
2012-06-01,0.039554921,0.038095878
2012-07-02,0.012597639,0.001522972
2012-08-01,0.019763362,0.043354017
2012-09-04,0.02423609,0.016064768
2012-10-01,-0.019789404,-0.04460518
2012-11-01,0.002846703,0.011087487
2012-12-03,0.007068311,0.003079489
2013-01-02,0.050428064,0.040609238
2013-02-01,0.011060603,0.005747693
2013-03-01,0.032409486,0.02920394
